,Department,CourseNumber,CourseName,StudentCount,AvgGPA
191,BADM,312,Designing and Managing Orgs,39,3.76
192,BADM,313,Strategic Human Res Management,42,3.56
193,BADM,314,Leading Negotiations,56,3.67
194,BADM,320,Principles of Marketing,614,3.85
195,BADM,322,Marketing Research,93,3.88
196,BADM,323,Marketing Communications,57,3.56
197,BADM,324,Purchasing and Supply Mgmnt,61,3.93
198,BADM,325,Consumer Behavior,88,3.66
199,BADM,326,Pricing Policies,43,3.35
200,BADM,327,Marketing to Business and Govt,35,3.78
201,BADM,329,New Product Development,35,3.76
202,BADM,337,Practicum in Supply Chain Mgt,53,3.63
203,BADM,340,Ethical Dilemmas of Business,56,3.78
204,BADM,350,IT for Networked Organizations,257,3.34
205,BADM,353,Info Sys Analysis and Design,86,3.77
206,BADM,356,Data Science and Analytics,52,3.79
207,BADM,359,Bus Prob Form and Soln,41,3.9
208,BADM,374,Management Decision Models,100,3.74
209,BADM,375,Operations Management,142,3.54
210,BADM,378,Logistics Management,31,3.27
211,BADM,379,Business Process Improvement,46,3.59
212,BADM,380,International Business,112,3.38
213,BADM,381,Multinational Management,51,3.86
214,BADM,382,International Marketing,25,3.93
215,BADM,403,Corporate & Commercial Law,91,3.65
216,BADM,445,Small Business Consulting,30,3.97
217,BADM,446,Entrep: New Venture Creation,33,3.85
218,BADM,449,Business Policy and Strategy,421,3.71
219,BADM,508,Leadership and Teams,933,3.59
220,BADM,509,Managing Organizations,918,3.61
221,BADM,520,Marketing Management,23,3.94
222,BADM,521,Marketing Strategy,59,3.61
223,BADM,524,Pricing Strategy and Tactics,39,3.67
224,BADM,543,Technology Strategy,52,3.58
225,BADM,544,Strategic Management,30,3.52
226,BADM,550,Technology Practicum,29,3.79
227,BADM,555,Info Sys Development and Mgt,23,3.64
228,BADM,562,Social Media Strategy,27,3.73
229,BADM,564,Business Process Improvement,29,3.62
230,BADM,572,Stat for Mgt Decision Making,955,3.52
231,BADM,574,Simulation and Risk Analysis,59,3.87
232,BADM,583,Global Innov & Entrep,36,3.43
233,BADM,584,Global Marketing,36,3.61
234,BADM,589,Project Management,118,3.82
235,BADM,590,Strategic Sourcing,1979,3.79
236,BCS,115,South Slavic Cultures,48,3.42
237,BIOC,446,Physical Biochemistry,68,3.42
238,BIOE,202,Cell & Tissue Engineering Lab,28,3.21
239,BIOE,205,Signals & Systems in Bioengrg,59,3.18
240,BIOE,210,Linear Alg for Biomed Data Sci,68,3.17
241,BIOE,310,Comp Tools Bio Data,39,3.65
242,BIOE,360,Transport & Flow in Bioengrg,56,2.97
243,BIOE,414,Biomedical Instrumentation,60,3.6
244,BIOE,415,Biomedical Instrumentation Lab,50,3.91
245,BIOE,420,Intro Bio Control Systems,67,3.67
246,BIOE,574,Inno/Financial Decision Making,24,3.74
247,BIOE,575,Capstone Project,24,3.83
248,BIOE,598,Cancer Nanotechnology,22,3.86
249,BTW,250,Principles Bus Comm,499,3.5
250,BTW,261,Principles Tech Comm,93,3.36
251,BTW,263,Writing in the Disciplines,24,3.31
252,BTW,271,Persuasive Writing,22,3.47
253,BUS,199,Coaching for Success,31,3.94
254,BUS,201,Business Dynamics,37,3.6
255,BUS,302,Principles Prof Responsibility,33,3.92
256,CEE,201,Systems Engrg & Economics,46,3.63
257,CEE,202,Engineering Risk & Uncertainty,103,3.22
258,CEE,300,Behavior of Materials,89,3.1
259,CEE,310,Transportation Engineering,52,2.88
260,CEE,320,Construction Engineering,89,3.58
261,CEE,330,Environmental Engineering,138,3.35
262,CEE,350,Water Resources Engineering,63,2.81
263,CEE,360,Structural Engineering,58,3.44
264,CEE,380,Geotechnical Engineering,81,2.81
265,CEE,415,Geometric Design of Roads,32,3.24
266,CEE,418,Public Transportation Systems,30,3.27
267,CEE,420,Construction Productivity,150,3.46
268,CEE,421,Construction Planning,57,3.55
269,CEE,422,Construction Cost Analysis,117,3.39
270,CEE,424,Sustainable Const Methods,62,3.36
271,CEE,433,Water Technology and Policy,24,3.67
272,CEE,437,Water Quality Engineering,25,3.44
273,CEE,449,Environmental Engineering Lab,29,3.31
274,CEE,452,Hydraulic Analysis and Design,29,2.91
275,CEE,460,Steel Structures I,57,3.06
276,CEE,461,Reinforced Concrete I,46,3.67
277,CEE,462,Steel Structures II,41,3.47
278,CEE,465,Design of Structural Systems,38,3.44
279,CEE,468,Prestressed Concrete,29,3.5
280,CEE,470,Structural Analysis,28,3.43
281,CEE,498,Construction Econ & Financing,47,3.67
282,CEE,537,Water Quality Control Proc I,27,3.44
283,CEE,570,Finite Element Methods,50,3.17
284,CEE,572,Earthquake Engineering,37,3.89
285,CEE,592,Sustainable Urban Systems,26,3.5
286,CEE,598,Building Information Modeling,92,3.95
287,CHBE,221,Principles of CHE,33,2.76
288,CHBE,321,Thermodynamics,94,2.59
289,CHBE,421,Momentum and Heat Transfer,99,2.69
290,CHBE,422,Mass Transfer Operations,104,2.98
291,CHBE,424,Chemical Reaction Engineering,73,2.69
292,CHBE,430,Unit Operations Laboratory,73,3.88
293,CHBE,431,Process Design,82,3.25
294,CHBE,440,Process Control and Dynamics,54,3.08
295,CHBE,455,Polymer Synthesis,45,2.94
296,CHBE,473,Biomolecular Engineering,27,2.94
297,CHBE,476,Biotransport,93,3.83
298,CHBE,494,Statistics in Chemical Engrg,57,3.69
299,CHBE,571,Bioinformatics,24,3.93
300,CHEM,101,Introductory Chemistry,183,2.3
301,CHEM,102,General Chemistry I,959,2.33
302,CHEM,103,General Chemistry Lab I,948,3.6
303,CHEM,104,General Chemistry II,938,2.6
304,CHEM,105,General Chemistry Lab II,941,3.75
305,CHEM,199,Undergraduate Open Seminar,436,3.85
306,CHEM,204,Accelerated Chemistry II,150,2.71
307,CHEM,205,Accelerated Chemistry Lab II,143,3.35
308,CHEM,232,Elementary Organic Chemistry I,448,2.68
309,CHEM,233,Elementary Organic Chem Lab I,432,3.37
310,CHEM,236,Fundamental Organic Chem I,48,2.66
311,CHEM,237,Structure and Synthesis,57,2.92
312,CHEM,312,Inorganic Chemistry,67,2.41
313,CHEM,315,Instrumental Chem Systems Lab,93,3.03
314,CHEM,317,Inorganic Chemistry Lab,34,3.12
315,CHEM,332,Elementary Organic Chem II,318,2.68
316,CHEM,360,Chemistry of the Environment,176,3.65
317,CHEM,420,Instrumental Characterization,59,3.02
318,CHEM,436,Fundamental Organic Chem II,89,3.06
319,CHEM,437,Organic Chemistry Lab,33,3.44
320,CHEM,442,Physical Chemistry I,79,3.5
321,CHEM,444,Physical Chemistry II,30,3.18
322,CHEM,474,Drug Discovery & Development,93,2.98
323,CHEM,530,Structure and Spectroscopy,32,3.48
324,CHEM,588,Physical Methods Mat Chem,26,3.73
325,CHLH,100,Contemporary Health,146,3.46
326,CHLH,101,Introduction to Public Health,788,3.43
327,CHLH,125,Orientation KIN & Comm Health,109,3.61
328,CHLH,199,Campus Acq Rape Educ (CARE),45,3.51
329,CHLH,200,Mental Health,94,3.44
330,CHLH,201,Public Health Research Methods,137,3.55
331,CHLH,206,Human Sexuality,1243,3.42
332,CHLH,210,Community Health Organizations,112,3.39
333,CHLH,243,Drug Use and Abuse,1404,3.64
334,CHLH,250,Health Care Systems,165,3.58
335,CHLH,260,Introduction to Medical Ethics,133,3.8
336,CHLH,274,Introduction to Epidemiology,624,3.45
337,CHLH,304,Foundations of Health Behavior,189,3.33
338,CHLH,380,Orientation to Internship,112,3.92
339,CHLH,407,"Disability, Culture & Society",34,3.86
340,CHLH,409,Women's Health,48,3.26
341,CHLH,410,Public Health Practice,92,3.66
342,CHLH,415,International Health,42,3.46
343,CHLH,421,Health Data Analysis,122,3.82
344,CHLH,455,Health Services Financing,64,3.86
345,CHLH,457,Health Planning,67,3.61
346,CHLH,458,Health Administration,66,3.58
347,CHLH,469,Environmental Health,22,3.94
348,CHP,199,Immigration: A Global Phenomen,21,3.7
349,CI,401,Intro Tchg in a Diverse Societ,54,3.59
350,CI,404,Tchg and Assessing Sec Sch Stu,22,3.82
351,CI,407,Thry Prac in Elem Schl Tchg II,73,3.75
352,CI,415,"Lang Varieties,Cult,& Learning",25,3.79
353,CI,424,Child Development & Technology,26,3.89
354,CI,431,Tchg Elementary Mathematics,29,3.86
355,CI,432,Invest Approach Elem Math Inst,22,3.77
356,CI,446,Culture in the Classroom,21,3.67
357,CI,448,Tchg Elem Social Studies,46,3.85
358,CI,451,Tchg Elem Science II,45,3.83
359,CI,467,Princ Tchg Lit to Child Youth,24,3.94
360,CI,473,Disciplinary Literacy,133,3.97
361,CI,475,Teach Elem Rdg & Lang Arts I,49,3.57
362,CLCV,102,Medical Terms-GRK & LAT Roots,142,3.45
363,CLCV,111,Mythology of Greece and Rome,56,3.05
