,Department,CourseNumber,CourseName,StudentCount,AvgGPA
1081,MUS,447,Advanced Music Ed Technology,21,3.95
1082,MUS,450,Advanced Ensemble Music,24,3.93
1083,MUS,499,Jazz Forum,33,3.56
1084,MUS,501,Grad Music History Review 1,29,3.86
1085,MUS,502,Tonal Theory,23,3.42
1086,NPRE,100,Orientation to NPRE,35,3.49
1087,NPRE,201,Energy Systems,110,3.24
1088,NPRE,402,Nuclear Power Engineering,107,3.55
1089,NPRE,431,Materials in Nuclear Engrg,37,2.98
1090,NPRE,446,Radiation Interact w/Matter I,23,2.9
1091,NPRE,448,Nuclear Syst Engrg & Design,35,2.8
1092,NPRE,457,Safety Anlys Nucl Reactor Syst,23,3.83
1093,NPRE,481,Writing on Technol & Security,35,3.45
1094,NRES,100,Fundamentals of Env Sci,84,3.65
1095,NRES,102,Introduction to NRES,319,2.93
1096,NRES,103,The Great Lakes at Risk,356,2.86
1097,NRES,201,Introductory Soils,90,2.7
1098,NRES,219,Principles of Ecosystem Mgmt,94,3.04
1099,NRES,348,Fish and Wildlife Ecology,95,3.18
1100,NRES,401,Watershed Hydrology,35,3.37
1101,NRES,409,Fishery Ecol and Conservation,22,3.15
1102,NRES,415,Native Plant ID and Floristics,30,3.05
1103,NRES,419,Env and Plant Ecosystems,45,2.97
1104,NRES,424,"US Environ, Justic & Policy",22,3.52
1105,NRES,454,GIS in Natural Resource Mgmt,84,2.81
1106,NRES,472,Environmental Psychology,33,3.25
1107,NUTR,510,Gastrointestinal Fermentation,34,3.59
1108,NUTR,561,Metabolic Basis of Weight Mgmt,21,3.83
1109,PHIL,101,Introduction to Philosophy,110,3.15
1110,PHIL,102,Logic and Reasoning,254,2.81
1111,PHIL,103,Logic and Reasoning QR II,45,2.78
1112,PHIL,107,Intro to Political Philosophy,26,3.72
1113,PHIL,202,Symbolic Logic,32,3.07
1114,PHIL,203,Ancient Philosophy,61,2.72
1115,PHIL,206,Early Modern Philosophy,56,2.99
1116,PHIL,214,Biomedical Ethics,23,3.42
1117,PHIL,250,Conceptions of Human Nature,28,3.25
1118,PHIL,380,Current Controversies,25,2.97
1119,PHIL,421,Ethical Theories,24,3.66
1120,PHIL,436,Phil of Law and of the State,25,3.63
1121,PHYS,100,Thinking About Physics,342,3.33
1122,PHYS,101,College Physics: Mech & Heat,396,2.84
1123,PHYS,102,College Physics: E&M & Modern,218,2.8
1124,PHYS,211,University Physics: Mechanics,670,3.06
1125,PHYS,212,University Physics: Elec & Mag,930,2.71
1126,PHYS,213,Univ Physics: Thermal Physics,491,2.96
1127,PHYS,214,Univ Physics: Quantum Physics,440,2.87
1128,PHYS,225,Relativity & Math Applications,128,2.96
1129,PHYS,325,Classical Mechanics I,87,3.1
1130,PHYS,326,Classical Mechanics II,37,2.87
1131,PHYS,401,Classical Physics Lab,24,2.53
1132,PHYS,402,Light,37,3.54
1133,PHYS,427,Thermal & Statistical Physics,49,3.2
1134,PHYS,435,Electromagnetic Fields I,90,3.21
1135,PHYS,436,Electromagnetic Fields II,58,3.7
1136,PHYS,460,Condensed Matter Physics,22,3.21
1137,PHYS,485,Atomic Phys & Quantum Theory,29,3.37
1138,PHYS,486,Quantum Physics I,73,3.02
1139,PHYS,487,Quantum Physics II,53,3.14
1140,PHYS,580,Quantum Mechanics I,25,3.11
1141,PHYS,582,General Field Theory,21,3.27
1142,PLPA,200,"Plants, Pathogens, and People",169,3.8
1143,PS,100,Intro to Political Science,359,3.21
1144,PS,101,Intro to US Gov & Pol,153,3.34
1145,PS,170,"Power, Politics, and Protest",76,3.56
1146,PS,201,US Racial & Ethnic Politics,113,3.37
1147,PS,220,Intro to Public Policy,81,2.76
1148,PS,225,Environmental Politics&Policy,77,2.52
1149,PS,230,Intro to Pol Research,36,3.13
1150,PS,240,Intro to Comp Politics,28,2.81
1151,PS,241,Comp Politics in Dev Nations,202,3.17
1152,PS,270,Intro to Political Theory,157,3.08
1153,PS,280,Intro to Intl Relations,107,3.15
1154,PS,301,The US Constitution I,116,3.32
1155,PS,303,The US Congress,86,3.45
1156,PS,320,Public Opinion,85,3.27
1157,PS,321,Principles of Public Policy,30,2.91
1158,PS,348,Gov & Pol in Western Europe,110,3.13
1159,PS,390,American Foreign Policy,95,3.54
1160,PS,398,Strategic Interntl Relations,38,2.64
1161,PSM,501,PSM Industry Seminar I,22,3.88
1162,PSYC,100,Intro Psych,1410,3.08
1163,PSYC,201,Intro to Social Psych,445,2.82
1164,PSYC,204,Intro to Brain and Cognition,148,3.43
1165,PSYC,210,Behavioral Neuroscience,161,2.69
1166,PSYC,216,Child Psych,240,2.9
1167,PSYC,224,Cognitive Psych,191,2.89
1168,PSYC,230,Perception & Sensory Processes,195,3.43
1169,PSYC,235,Intro to Statistics,37,2.81
1170,PSYC,238,Psychopathol & Probs in Living,345,3.1
1171,PSYC,239,Community Psych,77,3.61
1172,PSYC,245,Industrial Org Psych,147,3.2
1173,PSYC,248,Learning and Memory,171,3.15
1174,PSYC,250,Psych of Personality,134,2.88
1175,PSYC,312,Psychology of Race & Ethnicity,107,3.33
1176,PSYC,324,Developmental Psychopathology,148,2.95
1177,PSYC,333,Social Psych in Society Lab,81,3.04
1178,PSYC,350,Personality Lab,92,3.43
1179,PSYC,353,Social Cognition,94,3.19
1180,PSYC,363,Developmental Child Psych Lab,38,3.17
1181,PSYC,403,Memory and Amnesia,147,3.44
1182,PSYC,408,Human Behavior Genetics,53,3.72
1183,PSYC,417,Neurosci of Eating & Drinking,72,3.19
1184,PSYC,425,Psych of Language,41,2.94
1185,PSYC,433,Evolutionary Neuroscience,96,2.68
1186,PSYC,450,Cognitive Psychophysiology,27,3.56
1187,PSYC,453,Cog Neuroscience of Vision,24,3.25
1188,PSYC,468,Psych and Law,78,3.5
1189,PSYC,475,Personnel Psych,83,3.98
1190,PSYC,496,IntroFaciltatngIntrGrpDialogue,45,3.67
1191,PSYC,506,Statistical Methods I,41,3.98
1192,PSYC,594,Multivar Anlys in Psych and Ed,34,3.97
